musicId,fileName,title,artist,album,duration,chorus_start_time,chorus_end_time,audspec_lengthL1norm_sma_meanSegLen,audspec_lengthL1norm_sma_stddev,audspec_lengthL1norm_sma_skewness,audspec_lengthL1norm_sma_kurtosis,audspec_lengthL1norm_sma_maxSegLen,audspecRasta_lengthL1norm_sma_meanSegLen,audspecRasta_lengthL1norm_sma_stddev,audspecRasta_lengthL1norm_sma_skewness,audspecRasta_lengthL1norm_sma_kurtosis,audspecRasta_lengthL1norm_sma_maxSegLen,pcm_RMSenergy_sma_meanSegLen,pcm_RMSenergy_sma_stddev,pcm_RMSenergy_sma_skewness,pcm_RMSenergy_sma_kurtosis,pcm_RMSenergy_sma_maxSegLen,pcm_zcr_sma_meanSegLen,pcm_zcr_sma_stddev,pcm_zcr_sma_skewness,pcm_zcr_sma_kurtosis,pcm_zcr_sma_maxSegLen,audspec_lengthL1norm_sma_de_meanSegLen,audspec_lengthL1norm_sma_de_stddev,audspec_lengthL1norm_sma_de_skewness,audspec_lengthL1norm_sma_de_kurtosis,audspec_lengthL1norm_sma_de_maxSegLen,audspecRasta_lengthL1norm_sma_de_meanSegLen,audspecRasta_lengthL1norm_sma_de_stddev,audspecRasta_lengthL1norm_sma_de_skewness,audspecRasta_lengthL1norm_sma_de_kurtosis,audspecRasta_lengthL1norm_sma_de_maxSegLen,audSpec_Rfilt_sma[0]_meanSegLen,audSpec_Rfilt_sma[0]_stddev,audSpec_Rfilt_sma[1]_meanSegLen,audSpec_Rfilt_sma[1]_stddev,audSpec_Rfilt_sma[2]_meanSegLen,pcm_RMSenergy_sma_risetime,pcm_zcr_sma_risetime,audspec_lengthL1norm_sma_risetime,audspecRasta_lengthL1norm_sma_risetime,Arousal(mean),Valence(mean)
1,1.mp3,Good Drank,2 Chainz,"Def Jam Presents: Direct Deposit, Vol. 2",32.1,02:35,03:05,0.6608510999999999,1.201596,0.3648187,3.121323,1.85,0.7075,0.5241507000000001,3.159842,19.66449,2.32,0.8220513,0.06923479,0.6203696999999999,4.276608,1.37,0.7360976,0.05454938,1.2549,5.036845,1.37,1.244,0.2589904,0.4157541,7.877283,3.31,0.82,0.1084512,1.406541,13.00735,1.96,1.334348,0.3225808,1.179615,0.2286084,1.492632,0.4464621,0.4702567,0.4502192,0.42799,0.4,0.575
4,4.mp3,X Bitch (feat. Future),21 Savage,Savage Mode,28.09,03:00,03:26,0.4221212,1.088543,1.0411860000000002,4.251553,1.39,0.31,2.258359,16.10516,296.7665,0.31,0.9243333,0.1655701,-0.04240124,2.095512,2.42,1.93,0.03606836,10.93771,193.5889,1.93,0.9942857,0.264217,0.8085399000000001,6.2078120000000006,3.13,0.35,0.4898606,10.95455,324.6176,0.35,6.336666999999999,0.2469327,0.31,0.9546832,0.31,0.3886901,0.4545455,0.4459555999999999,0.4452398,0.2625,0.2875
5,5.mp3,No Heart,21 Savage,Savage Mode,84.23,00:41,02:03,0.9521591,1.111854,1.618898,7.437292,1.74,1.451754,0.6310939,2.511543,17.09279,3.43,1.151644,0.1531843,0.2237242,2.157232,1.55,2.266061,0.0496649,2.714527,12.67632,8.71,1.723542,0.2954410999999999,0.8887014999999999,9.474268,5.14,1.591923,0.178929,0.9621904,13.785620000000002,4.28,10.23,0.2225033,17.9,0.2727022,23.866670000000003,0.40405,0.4669446,0.4329958,0.4470518,0.15,0.2
6,6.mp3,Red Opps,21 Savage,Red Opps,29.53,02:16,02:44,0.6617073,1.545711,0.1547209,3.116568,1.71,0.29,2.930035,15.76834,276.5452,0.29,0.63,0.1214178,-0.9759356,2.512195,2.64,2.822,0.04829981,5.1261980000000005,54.50428,6.82,0.6320454000000001,0.2793555,0.9651741,6.345582,1.79,0.38,0.5570385,11.09851,327.6827,0.38,0.33,0.3361626,0.32,0.8321076999999999,0.34,0.4615385,0.4622192,0.3992512,0.4213751,0.5125,0.35
7,7.mp3,Girls Talk Boys,5 Seconds Of Summer,Ghostbusters (Original Motion Picture Soundtrack),29.11,02:30,02:57,0.6592857,1.233542,-0.6434270000000001,3.3561410000000005,3.17,0.31,3.170987,17.94451,357.7068,0.31,0.5001724,0.1099182,0.5837789000000001,4.159033999999999,1.08,1.771875,0.06552026,2.982498,16.78454,8.88,0.4122857,0.2276997,1.05072,6.008274,0.95,0.34,0.6982219,14.598720000000002,461.8842,0.34,0.32,0.6949701,0.32,1.264983,0.31,0.4747928,0.456837,0.4523481,0.3998619,0.7,0.725
8,8.mp3,PRBLMS,6LACK,FREE 6LACK,40.14,02:10,02:48,0.8487234,1.437769,0.1565164,2.9229580000000004,2.13,0.8008,0.4488475999999999,1.876713,10.27888,2.01,1.477778,0.08613539,0.0906452,6.302304,4.36,1.155,0.03189714,2.795103,17.73658,2.9,0.5010126,0.3038353,1.064542,6.840974,2.27,0.5350666999999999,0.1059808,1.462707,10.63591,1.41,6.671667,0.0686692,1.379655,0.08645204,0.4895062,0.4627127,0.4694695,0.4569569999999999,0.4326827,0.3875,0.225
9,9.mp3,Timeless,A Boogie Wit Da Hoodie,TBA,23.09,01:57,02:18,0.5082222,1.58142,-0.03282167,2.1529540000000003,1.39,0.23,4.309669,15.142029999999998,262.3571,0.23,0.5433333,0.13434,0.3211252999999999,3.19353,1.68,2.016667,0.05914885,3.918688,41.95865,4.33,0.5478048000000001,0.3337938,0.5066712000000001,5.105092,1.81,0.28,0.9322751,13.03782,375.3787,0.28,4.17,0.7519295,0.23,1.915545,0.23,0.4594948,0.4878049,0.4608014,0.424216,0.45,0.2875
10,10.mp3,Drowning,A Boogie Wit Da Hoodie,Drowning,32.1,02:43,03:13,0.7545238000000001,1.455256,0.1790962,3.2309490000000003,1.87,3.178,0.6415398,6.109113,60.863240000000005,9.3,0.4572857,0.1207646,0.3943441,2.743778,1.49,1.165926,0.05395376,2.42211,11.31947,3.04,0.4858460999999999,0.3275386,1.422501,6.785471,1.55,0.5875925000000001,0.1247783,3.840576,49.9612,1.19,1.413636,0.1541043999999999,1.83,0.2088775,7.25,0.3969944,0.5031309,0.3857232,0.384784,0.4375,0.425
11,11.mp3,My Shit,A Boogie Wit Da Hoodie,My Shit,15.08,01:37,01:50,0.4729032,1.071666,0.04735664,2.524466,1.9,0.15,3.626032,12.8461,185.846,0.15,0.5260714,0.08966237,0.9935384,4.6086540000000005,1.29,1.320909,0.06936166,2.889126,18.3051,4.49,0.3447619,0.1760421,1.052148,9.403947,1.31,0.15,0.8114511,10.40715,240.5837,0.15,4.283333,0.3605552,0.16,1.255754,0.16,0.4084224999999999,0.4872995,0.434492,0.3903743,,
12,12.mp3,We The People....,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,27.1,02:27,02:52,0.8106061,1.206102,0.1335009,3.770048000000001,1.3,0.39,1.133457,11.84093,177.8574,0.39,0.5037735999999999,0.1269253,0.02144448,2.854204,0.84,6.7525,0.03656541,4.933122,51.3537,25.16,0.4144444,0.2390573,1.859538,9.036218,1.04,2.266364,0.2148788999999999,11.8287,295.4188,6.49,0.32,0.4304112,0.32,0.7376183000000001,0.32,0.4534323,0.4742114999999999,0.3725418,0.3725418,0.6875,0.575
13,13.mp3,Weak,AJR,What Everyone's Thinking,33.12,02:38,03:09,0.4929850999999999,1.302007,-1.114042,5.111056,1.73,0.39,1.719642,15.32673,260.7627,0.39,1.308,0.08830302,-0.2312438999999999,5.405737,2.51,4.01625,0.04073811,3.868082,37.34442,11.48,0.4863234999999999,0.2379567,1.266892,7.470485000000001,2.14,0.37,0.2677038,8.03758,305.5864,0.37,1.605,0.2216945,0.37,0.5765656,0.39,0.4414442,0.4690534,0.4617718,0.4180824999999999,0.825,0.5875
14,14.mp3,I’m Sorry,Adam Wakefield,I’m Sorry (The Voice Performance),26.1,01:55,02:19,0.7360606,1.007411,-0.8269001,5.27744,2.82,0.3,2.726925,16.74319,313.5014,0.3,0.6178570999999999,0.06686337,-1.423157,5.944259,2.13,0.0,0.03004937,10.82926,212.5197,0.0,1.349444,0.1395747999999999,1.105927,10.30595,4.49,0.32,0.5969666,13.9619,421.4425,0.32,0.31,0.4338151,0.31,1.0311549999999998,0.3,0.5050077000000001,0.48151,0.4718797999999999,0.4310478,0.5625,0.575
15,15.mp3,Lonesome Broken and Blue (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),37.13,02:56,03:31,1.271724,1.238701,-0.4995274,3.200576,5.27,2.387143,0.2934887,6.944535000000001,78.44875,6.44,0.57875,0.06343643,-1.478715,6.516036,1.66,2.106471,0.03664737,3.178217,16.4805,10.38,1.021714,0.1440476,1.006503,10.00248,3.21,0.6517857,0.04637582,5.731439,92.46872,2.12,1.78375,0.05650372,3.676666,0.09705616,2.409333,0.465368,0.4775433,0.4772727,0.4415585,0.6125,0.6625
16,16.mp3,When I Call Your Name (The Voice Performance),Adam Wakefield,The Complete Season 10 Collection (The Voice Performance),51.16,02:06,02:55,1.043877,1.319909,-1.1098,4.302554,3.45,17.05667,0.3416515999999999,9.232635,124.8492,49.95,1.187209,0.05563596,-0.5246960999999999,6.539483000000001,4.65,3.353077,0.02444079,1.630654,16.08788,6.74,0.9650943,0.1166019,1.374934,12.03028,2.99,3.410667,0.06193946,12.70325,284.5345,11.78,0.62,0.05068307,0.59,0.1092061,0.57,0.4848901,0.4603610999999999,0.4770407999999999,0.4495683,0.5375,0.575
17,17.mp3,Hello,Adele,Hello,53.15,03:51,04:42,0.7837878,1.335046,-1.203812,4.429207,2.31,0.0,4.069849,26.27959,762.3757,0.0,0.8993104,0.08650893,-0.7867642,3.970744,2.27,0.0,0.02548264,14.992770000000002,428.1819,0.0,1.471765,0.1678213999999999,1.177209,8.082972999999999,4.65,0.0,0.9671245,17.75323,837.9163,0.0,0.0,0.8057392,0.0,2.211817,0.0,0.4665659,0.4839441,0.454099,0.4129202999999999,0.825,0.675
18,18.mp3,Send My Love (To Your New Lover),Adele,Send My Love (To Your New Lover),52.16,02:50,03:40,1.2955,1.303576,-0.7129946999999999,3.809831,3.77,0.51,1.052585,19.71637,490.9478,0.51,0.665,0.1303738,0.2137031,2.655956,3.77,5.291111,0.0560229,4.775652,38.32752,8.809999000000001,0.8756139999999999,0.2226279,1.504372,7.782566,3.78,0.0,0.2290517,14.093370000000002,604.7146,0.0,3.82,0.5271754,0.0,1.128326,0.0,0.4379210999999999,0.4760346,0.4086622,0.4109720999999999,0.8,0.8375
19,19.mp3,Water Under The Bridge,Adele,25,43.15,03:02,03:43,0.6455384,0.875726,-1.7931549999999998,7.874213,2.13,0.48,0.466346,15.283320000000002,282.4947,0.48,0.668125,0.06102003,-0.4543194,5.8471470000000005,2.12,19.075,0.02274221,4.122812000000001,69.73897,31.65,1.374667,0.1292832,0.9617289,6.263866,7.15,0.5733333,0.08227459,18.68341,601.1499,1.09,1.81,0.08688968,0.49,0.1769691,0.49,0.4823090999999999,0.4951117,0.4809125,0.4362198,0.7625,0.75
20,20.mp3,We're In This Love Together,Al Jarreau,Breakin' Away,81.22,02:27,03:46,1.412,0.9976202,-0.04348299,2.295752,4.35,0.0,0.814674,21.98206,594.3497,0.0,1.0612700000000002,0.04020696,0.3184796,2.413713,2.42,40.64,0.03789719,9.3934,194.3272,51.11,1.3208,0.1132508,1.212533,7.229988,3.01,0.0,0.1480497,16.65104,714.5458,0.0,0.0,0.1310436999999999,0.0,0.2417334,0.0,0.4203829,0.4714021,0.412971,0.4169239999999999,0.55,0.6375
21,21.mp3,Faded,Alan Walker,Faded,45.14,02:32,03:15,0.5996,1.0419889999999998,-1.204562,4.920522,1.47,0.0,4.653025,23.58009,617.3163,0.0,0.6201389,0.06759675,-1.440359,6.468776999999999,1.34,6.376666999999999,0.04820038,3.975715,53.30809,10.64,0.9566666,0.1851396,0.108733,5.030246,3.32,0.0,1.0778299999999998,17.927,740.4895,0.0,0.0,1.368109,0.0,2.260617,0.0,0.4918799,0.5043380999999999,0.5087875,0.4656285,0.8625,0.775
